month,business_unit,aws_service,total_cost_usd,waste_amount_usd,optimized_cost,region,environment
2024-01,Customer Service,CloudWatch,34.81,1.81,33.0,us-west-2,production
2024-01,Customer Service,Load Balancer,51.58,6.34,45.24,us-west-2,production
2024-01,IT Infrastructure,EC2 Compute,407.81,90.13,317.68,us-east-1,production
2024-01,IT Infrastructure,EKS Cluster,325.03,120.59,204.44,eu-west-1,production
2024-01,IT Infrastructure,RDS Database,152.37,21.94,130.43,us-west-2,production
2024-01,IT Infrastructure,S3 Storage,61.92,13.37,48.55,us-west-2,production
2024-01,IT Infrastructure,Lambda,32.36,3.17,29.19,us-west-2,dev
2024-01,IT Infrastructure,Data Transfer,50.17,6.52,43.65,us-east-1,staging
2024-01,IT Infrastructure,CloudWatch,19.9,3.4,16.5,us-east-1,production
2024-01,IT Infrastructure,Load Balancer,25.71,5.84,19.87,us-west-2,staging
2024-01,Compliance & Risk,EC2 Compute,345.12,21.74,323.38,us-east-1,production
2024-01,Compliance & Risk,EKS Cluster,288.93,15.89,273.04,us-west-2,production
2024-01,Compliance & Risk,RDS Database,164.7,45.79,118.91,us-west-2,dev
2024-01,Compliance & Risk,S3 Storage,63.47,6.03,57.44,us-west-2,production
2024-01,Compliance & Risk,Lambda,40.91,13.09,27.82,us-east-1,production
2024-01,Compliance & Risk,Data Transfer,39.14,5.09,34.05,us-west-2,staging
2024-01,Compliance & Risk,CloudWatch,19.3,3.13,16.17,us-west-2,staging
2024-01,Compliance & Risk,Load Balancer,29.97,10.37,19.6,us-east-1,staging
2024-01,Finance Automation,EC2 Compute,1052.69,108.43,944.26,us-east-1,production
2024-01,Finance Automation,EKS Cluster,910.04,48.23,861.81,us-west-2,production
2024-01,Finance Automation,RDS Database,590.81,156.56,434.25,us-west-2,staging
2024-01,Finance Automation,S3 Storage,181.27,23.2,158.07,us-west-2,staging
2024-01,Finance Automation,Lambda,120.49,32.17,88.32,us-east-1,production
2024-01,Finance Automation,Data Transfer,145.58,24.89,120.69,us-west-2,production
2024-01,Finance Automation,CloudWatch,54.01,18.58,35.43,us-east-1,staging
2024-01,Finance Automation,Load Balancer,82.42,17.8,64.62,us-east-1,production
2024-01,HR Operations,EC2 Compute,571.98,81.79,490.19,us-west-2,production
2024-01,HR Operations,EKS Cluster,340.41,36.76,303.65,eu-west-1,dev
2024-01,HR Operations,RDS Database,216.38,11.9,204.48,eu-west-1,production
2024-01,HR Operations,S3 Storage,78.6,29.0,49.6,eu-west-1,staging
2024-01,HR Operations,Lambda,32.81,10.86,21.95,us-west-2,production
2024-01,HR Operations,Data Transfer,45.4,10.62,34.78,eu-west-1,production
2024-01,HR Operations,CloudWatch,22.02,5.57,16.45,eu-west-1,production
2024-01,HR Operations,Load Balancer,34.75,7.68,27.07,us-east-1,staging
2024-01,Supply Chain,EC2 Compute,1126.22,190.33,935.89,us-west-2,staging
2024-01,Supply Chain,EKS Cluster,783.61,248.4,535.21,us-east-1,dev
2024-01,Supply Chain,RDS Database,420.56,131.64,288.92,us-east-1,staging
2024-01,Supply Chain,S3 Storage,165.93,51.94,113.99,us-east-1,production
2024-01,Supply Chain,Lambda,61.56,14.84,46.72,us-west-2,production
2024-01,Supply Chain,Data Transfer,103.89,23.79,80.1,us-west-2,production
2024-01,Supply Chain,CloudWatch,41.43,3.81,37.62,us-west-2,staging
2024-01,Supply Chain,Load Balancer,68.99,8.35,60.64,us-east-1,production
2024-01,Customer Service,EC2 Compute,777.45,177.26,600.19,us-east-1,staging
2024-01,Customer Service,EKS Cluster,524.66,195.17,329.49,us-west-2,production
2024-01,Customer Service,RDS Database,312.98,61.03,251.95,us-west-2,production
2024-01,Customer Service,S3 Storage,118.68,43.67,75.01,us-east-1,production
2024-01,Customer Service,Lambda,43.69,4.46,39.23,us-west-2,production
2024-01,Customer Service,Data Transfer,83.71,23.94,59.77,us-east-1,production
2024-01,Customer Service,CloudWatch,39.33,7.39,31.94,us-west-2,production
2024-01,Customer Service,Load Balancer,56.18,16.85,39.33,us-west-2,production
2024-01,IT Infrastructure,EC2 Compute,462.62,95.3,367.32,us-west-2,production
2024-01,IT Infrastructure,EKS Cluster,345.59,71.19,274.4,us-west-2,production
2024-01,IT Infrastructure,RDS Database,207.58,53.97,153.61,us-west-2,production
2024-01,IT Infrastructure,S3 Storage,58.72,15.09,43.63,us-west-2,staging
2024-01,IT Infrastructure,Lambda,26.17,1.91,24.26,us-east-1,production
2024-01,IT Infrastructure,Data Transfer,52.35,12.72,39.63,eu-west-1,production
2024-01,IT Infrastructure,CloudWatch,21.22,4.27,16.95,us-west-2,dev
2024-01,IT Infrastructure,Load Balancer,25.38,4.49,20.89,eu-west-1,dev
2024-01,Compliance & Risk,EC2 Compute,450.07,32.86,417.21,us-west-2,staging
2024-01,Compliance & Risk,EKS Cluster,292.57,16.97,275.6,us-east-1,production
2024-01,Compliance & Risk,RDS Database,188.84,48.72,140.12,us-east-1,staging
2024-01,Compliance & Risk,S3 Storage,61.05,19.23,41.82,us-west-2,production
2024-01,Compliance & Risk,Lambda,41.16,15.52,25.64,us-west-2,production
2024-01,Compliance & Risk,Data Transfer,53.44,16.35,37.09,us-west-2,dev
2024-01,Compliance & Risk,CloudWatch,19.13,5.7,13.43,us-east-1,production
2024-01,Compliance & Risk,Load Balancer,31.38,10.92,20.46,us-west-2,staging
2024-03,Finance Automation,EC2 Compute,1373.17,244.42,1128.75,us-west-2,dev
2024-03,Finance Automation,EKS Cluster,869.11,69.53,799.58,us-west-2,dev
2024-03,Finance Automation,RDS Database,528.23,136.81,391.42,us-west-2,production
2024-03,Finance Automation,S3 Storage,185.92,29.38,156.54,us-east-1,staging
2024-03,Finance Automation,Lambda,114.46,9.16,105.3,us-west-2,production
2024-03,Finance Automation,Data Transfer,152.95,35.33,117.62,us-west-2,staging
2024-03,Finance Automation,CloudWatch,52.59,5.1,47.49,us-east-1,production
2024-03,Finance Automation,Load Balancer,79.18,6.57,72.61,us-west-2,staging
2024-03,HR Operations,EC2 Compute,479.72,37.42,442.3,eu-west-1,production
2024-03,HR Operations,EKS Cluster,397.65,68.4,329.25,us-east-1,dev
2024-03,HR Operations,RDS Database,211.73,64.79,146.94,us-east-1,production
2024-03,HR Operations,S3 Storage,76.55,26.72,49.83,us-west-2,production
2024-03,HR Operations,Lambda,42.24,2.91,39.33,us-west-2,production
2024-03,HR Operations,Data Transfer,57.31,15.13,42.18,us-east-1,production
2024-03,HR Operations,CloudWatch,23.56,3.39,20.17,us-east-1,production
2024-03,HR Operations,Load Balancer,36.21,13.33,22.88,us-west-2,dev
2024-03,Supply Chain,EC2 Compute,999.72,73.98,925.74,us-east-1,dev
2024-03,Supply Chain,EKS Cluster,710.35,158.41,551.94,us-east-1,production
2024-03,Supply Chain,RDS Database,482.78,117.32,365.46,eu-west-1,production
2024-03,Supply Chain,S3 Storage,136.41,19.51,116.9,eu-west-1,staging
2024-03,Supply Chain,Lambda,120.38,17.09,103.29,us-west-2,production
2024-03,Supply Chain,Data Transfer,96.51,16.12,80.39,us-east-1,production
2024-03,Supply Chain,CloudWatch,44.36,6.74,37.62,us-east-1,production
2024-03,Supply Chain,Load Balancer,74.88,7.79,67.09,eu-west-1,staging
2024-03,Customer Service,EC2 Compute,599.4,214.59,384.81,us-east-1,production
2024-03,Customer Service,EKS Cluster,707.86,41.76,666.1,us-west-2,staging
2024-03,Customer Service,RDS Database,290.78,107.59,183.19,us-east-1,staging
2024-03,Customer Service,S3 Storage,123.92,25.4,98.52,us-west-2,production
2024-03,Customer Service,Lambda,63.73,19.37,44.36,eu-west-1,staging
2024-03,Customer Service,Data Transfer,90.49,11.94,78.55,us-west-2,production
2024-03,Customer Service,CloudWatch,35.82,4.48,31.34,us-east-1,production
2024-03,Customer Service,Load Balancer,54.84,9.21,45.63,us-west-2,production
2024-03,IT Infrastructure,EC2 Compute,558.76,124.04,434.72,us-east-1,production
2024-03,IT Infrastructure,EKS Cluster,326.88,76.82,250.06,us-east-1,production
2024-03,IT Infrastructure,RDS Database,196.87,55.52,141.35,us-west-2,production
2024-03,IT Infrastructure,S3 Storage,68.89,3.79,65.1,us-west-2,production
2024-03,IT Infrastructure,Lambda,24.9,8.67,16.23,us-west-2,production
2024-03,IT Infrastructure,Data Transfer,34.65,10.71,23.94,us-west-2,production
2024-03,IT Infrastructure,CloudWatch,17.74,3.58,14.16,eu-west-1,production
2024-03,IT Infrastructure,Load Balancer,28.97,4.58,24.39,us-east-1,production
2024-03,Compliance & Risk,EC2 Compute,465.62,51.22,414.4,us-west-2,staging
2024-03,Compliance & Risk,EKS Cluster,286.04,58.92,227.12,us-east-1,production
2024-03,Compliance & Risk,RDS Database,179.26,19.36,159.9,us-west-2,production
2024-03,Compliance & Risk,S3 Storage,61.92,12.51,49.41,us-west-2,production
2024-03,Compliance & Risk,Lambda,52.73,3.32,49.41,us-east-1,production
2024-03,Compliance & Risk,Data Transfer,50.18,3.86,46.32,us-east-1,dev
2024-03,Compliance & Risk,CloudWatch,19.63,6.2,13.43,us-east-1,production
2024-03,Compliance & Risk,Load Balancer,28.54,3.4,25.14,us-west-2,production
2024-03,Finance Automation,EC2 Compute,906.58,184.04,722.54,us-east-1,production
2024-03,Finance Automation,EKS Cluster,1071.0,142.44,928.56,us-east-1,staging
2024-03,Finance Automation,RDS Database,665.83,56.6,609.23,us-west-2,production
2024-03,Finance Automation,S3 Storage,194.32,25.26,169.06,us-west-2,production
2024-03,Finance Automation,Lambda,84.6,7.61,76.99,us-east-1,production
2024-03,Finance Automation,Data Transfer,119.35,32.7,86.65,us-east-1,production
2024-03,Finance Automation,CloudWatch,56.65,13.82,42.83,us-east-1,production
2024-03,Finance Automation,Load Balancer,76.66,7.05,69.61,us-west-2,production
2024-03,HR Operations,EC2 Compute,623.3,104.71,518.59,eu-west-1,production
2024-03,HR Operations,EKS Cluster,484.67,62.04,422.63,us-west-2,production
2024-03,HR Operations,RDS Database,217.04,24.31,192.73,us-west-2,production
2024-03,HR Operations,S3 Storage,76.94,26.62,50.32,us-west-2,production
2024-03,HR Operations,Lambda,46.17,4.02,42.15,us-west-2,dev
2024-03,HR Operations,Data Transfer,60.6,20.36,40.24,us-east-1,production
2024-03,HR Operations,CloudWatch,24.89,8.89,16.0,us-east-1,production
2024-03,HR Operations,Load Balancer,32.48,4.61,27.87,us-east-1,production
2024-03,Supply Chain,EC2 Compute,844.88,184.18,660.7,us-west-2,production
2024-03,Supply Chain,EKS Cluster,566.35,142.72,423.63,us-west-2,production
2024-03,Supply Chain,RDS Database,417.54,94.36,323.18,us-west-2,production
2024-03,Supply Chain,S3 Storage,135.83,12.77,123.06,us-west-2,dev
2024-03,Supply Chain,Lambda,99.23,13.3,85.93,us-east-1,staging
2024-03,Supply Chain,Data Transfer,102.25,25.26,76.99,us-west-2,production
2024-03,Supply Chain,CloudWatch,45.84,14.85,30.99,eu-west-1,production
2024-03,Supply Chain,Load Balancer,64.1,18.65,45.45,eu-west-1,production
2024-03,Customer Service,EC2 Compute,813.85,195.32,618.53,us-east-1,production
2024-03,Customer Service,EKS Cluster,580.43,181.09,399.34,us-west-2,production
2024-03,Customer Service,RDS Database,354.28,95.66,258.62,us-west-2,production
2024-03,Customer Service,S3 Storage,115.81,39.26,76.55,us-west-2,staging
2024-03,Customer Service,Lambda,31.82,6.46,25.36,us-west-2,staging
2024-03,Customer Service,Data Transfer,77.74,16.79,60.95,us-west-2,staging
2024-03,Customer Service,CloudWatch,38.06,13.28,24.78,us-east-1,production
2024-03,Customer Service,Load Balancer,42.79,15.4,27.39,us-east-1,production
2024-03,IT Infrastructure,EC2 Compute,472.33,120.44,351.89,us-west-2,staging
2024-03,IT Infrastructure,EKS Cluster,312.22,96.79,215.43,us-west-2,production
2024-03,IT Infrastructure,RDS Database,203.47,12.41,191.06,us-east-1,staging
2024-03,IT Infrastructure,S3 Storage,62.91,21.33,41.58,us-west-2,staging
2024-03,IT Infrastructure,Lambda,33.61,10.52,23.09,us-west-2,production
2024-03,IT Infrastructure,Data Transfer,43.41,12.5,30.91,us-east-1,production
2024-03,IT Infrastructure,CloudWatch,20.64,2.75,17.89,us-west-2,production
2024-03,IT Infrastructure,Load Balancer,34.69,12.14,22.55,us-east-1,production
2024-03,Compliance & Risk,EC2 Compute,497.64,50.26,447.38,us-east-1,production
2024-03,Compliance & Risk,EKS Cluster,326.41,82.26,244.15,us-west-2,staging
2024-03,Compliance & Risk,RDS Database,192.47,53.89,138.58,eu-west-1,staging
2024-03,Compliance & Risk,S3 Storage,68.1,6.81,61.29,us-east-1,production
2024-03,Compliance & Risk,Lambda,50.39,18.04,32.35,eu-west-1,production
2024-03,Compliance & Risk,Data Transfer,46.98,4.09,42.89,eu-west-1,staging
2024-03,Compliance & Risk,CloudWatch,20.21,4.95,15.26,us-west-2,production
2024-03,Compliance & Risk,Load Balancer,32.6,5.25,27.35,us-east-1,production
2024-04,Finance Automation,EC2 Compute,1038.7,235.78,802.92,eu-west-1,production
2024-04,Finance Automation,EKS Cluster,751.28,123.21,628.07,us-east-1,production
2024-04,Finance Automation,RDS Database,533.02,51.17,481.85,us-west-2,production
2024-04,Finance Automation,S3 Storage,173.4,32.6,140.8,eu-west-1,production
2024-04,Finance Automation,Lambda,150.34,8.12,142.22,us-east-1,production
2024-04,Finance Automation,Data Transfer,169.68,62.27,107.41,us-west-2,production
2024-04,Finance Automation,CloudWatch,66.33,4.78,61.55,us-east-1,production
2024-04,Finance Automation,Load Balancer,85.12,29.45,55.67,us-west-2,production
2024-04,HR Operations,EC2 Compute,541.11,127.7,413.41,us-west-2,staging
2024-04,HR Operations,EKS Cluster,375.56,75.11,300.45,us-west-2,production
2024-04,HR Operations,RDS Database,256.53,25.91,230.62,us-west-2,staging
2024-04,HR Operations,S3 Storage,72.02,26.07,45.95,us-west-2,production
2024-04,HR Operations,Lambda,31.83,1.85,29.98,us-west-2,staging
2024-04,HR Operations,Data Transfer,78.56,20.98,57.58,us-west-2,production
2024-04,HR Operations,CloudWatch,25.69,1.46,24.23,us-west-2,staging
2024-04,HR Operations,Load Balancer,32.6,3.55,29.05,us-east-1,production
2024-04,Supply Chain,EC2 Compute,954.75,274.97,679.78,us-east-1,staging
2024-04,Supply Chain,EKS Cluster,703.43,127.32,576.11,us-east-1,production
2024-04,Supply Chain,RDS Database,447.97,24.19,423.78,us-west-2,production
2024-04,Supply Chain,S3 Storage,145.03,8.56,136.47,us-west-2,production
2024-04,Supply Chain,Lambda,99.45,31.82,67.63,us-west-2,production
2024-04,Supply Chain,Data Transfer,110.88,19.4,91.48,us-east-1,production
2024-04,Supply Chain,CloudWatch,41.68,9.67,32.01,us-west-2,production
2024-04,Supply Chain,Load Balancer,77.03,27.96,49.07,us-east-1,production
2024-04,Customer Service,EC2 Compute,810.95,279.78,531.17,us-east-1,production
2024-04,Customer Service,EKS Cluster,682.43,38.9,643.53,us-west-2,production
2024-04,Customer Service,RDS Database,312.18,29.97,282.21,us-east-1,dev
2024-04,Customer Service,S3 Storage,125.01,27.88,97.13,us-west-2,production
2024-04,Customer Service,Lambda,69.33,9.71,59.62,us-east-1,production
2024-04,Customer Service,Data Transfer,79.62,25.8,53.82,us-west-2,production
2024-04,Customer Service,CloudWatch,37.5,9.3,28.2,us-east-1,production
2024-04,Customer Service,Load Balancer,59.25,20.86,38.39,us-west-2,production
2024-04,IT Infrastructure,EC2 Compute,402.58,42.27,360.31,us-east-1,production
2024-04,IT Infrastructure,EKS Cluster,335.85,83.63,252.22,us-west-2,production
2024-04,IT Infrastructure,RDS Database,180.04,51.67,128.37,us-west-2,production
2024-04,IT Infrastructure,S3 Storage,62.43,12.92,49.51,us-east-1,dev
2024-04,IT Infrastructure,Lambda,28.84,1.73,27.11,us-west-2,production
2024-04,IT Infrastructure,Data Transfer,57.29,3.84,53.45,us-west-2,production
2024-04,IT Infrastructure,CloudWatch,21.93,1.86,20.07,us-west-2,staging
2024-04,IT Infrastructure,Load Balancer,28.33,6.06,22.27,us-east-1,production
2024-04,Compliance & Risk,EC2 Compute,511.39,160.58,350.81,us-east-1,production
2024-04,Compliance & Risk,EKS Cluster,312.2,76.49,235.71,us-west-2,production
2024-04,Compliance & Risk,RDS Database,193.24,21.45,171.79,us-west-2,staging
2024-04,Compliance & Risk,S3 Storage,69.04,20.16,48.88,us-east-1,production
2024-04,Compliance & Risk,Lambda,44.38,5.86,38.52,us-west-2,production
2024-04,Compliance & Risk,Data Transfer,55.41,20.83,34.58,eu-west-1,production
2024-04,Compliance & Risk,CloudWatch,21.05,2.32,18.73,us-east-1,dev
2024-04,Compliance & Risk,Load Balancer,30.81,1.88,28.93,us-east-1,production
2024-05,Finance Automation,EC2 Compute,1181.64,394.67,786.97,us-east-1,production
2024-05,Finance Automation,EKS Cluster,950.25,307.88,642.37,us-west-2,production
2024-05,Finance Automation,RDS Database,492.32,36.92,455.4,us-east-1,production
2024-05,Finance Automation,S3 Storage,172.97,49.99,122.98,us-west-2,production
2024-05,Finance Automation,Lambda,131.19,20.33,110.86,us-east-1,staging
2024-05,Finance Automation,Data Transfer,140.02,35.43,104.59,us-west-2,production
2024-05,Finance Automation,CloudWatch,54.1,19.48,34.62,us-east-1,dev
2024-05,Finance Automation,Load Balancer,86.95,14.43,72.52,us-east-1,production
2024-05,HR Operations,EC2 Compute,721.11,243.74,477.37,eu-west-1,staging
2024-05,HR Operations,EKS Cluster,360.07,67.69,292.38,us-west-2,staging
2024-05,HR Operations,RDS Database,211.24,35.28,175.96,us-west-2,production
2024-05,HR Operations,S3 Storage,74.23,9.43,64.8,us-west-2,production
2024-05,HR Operations,Lambda,40.93,7.24,33.69,us-east-1,production
2024-05,HR Operations,Data Transfer,60.34,21.9,38.44,us-east-1,production
2024-05,HR Operations,CloudWatch,24.44,8.85,15.59,us-west-2,production
2024-05,HR Operations,Load Balancer,33.35,3.5,29.85,eu-west-1,production
2024-05,Supply Chain,EC2 Compute,963.1,241.74,721.36,us-west-2,production
2024-05,Supply Chain,EKS Cluster,730.97,78.94,652.03,us-west-2,production
2024-05,Supply Chain,RDS Database,380.32,26.24,354.08,eu-west-1,staging
2024-05,Supply Chain,S3 Storage,146.24,52.06,94.18,eu-west-1,production
2024-05,Supply Chain,Lambda,102.58,28.72,73.86,us-west-2,staging
2024-05,Supply Chain,Data Transfer,97.72,12.12,85.6,us-west-2,production
2024-05,Supply Chain,CloudWatch,46.23,3.7,42.53,us-east-1,production
2024-05,Supply Chain,Load Balancer,72.42,6.74,65.68,us-east-1,dev
2024-05,Customer Service,EC2 Compute,804.44,213.98,590.46,us-east-1,production
2024-05,Customer Service,EKS Cluster,587.36,108.66,478.7,us-west-2,production
2024-05,Customer Service,RDS Database,327.02,25.18,301.84,us-west-2,production
2024-05,Customer Service,S3 Storage,123.07,9.23,113.84,us-east-1,production
2024-05,Customer Service,Lambda,101.06,32.54,68.52,us-west-2,production
2024-05,Customer Service,Data Transfer,80.47,19.07,61.4,us-west-2,staging
2024-05,Customer Service,CloudWatch,35.84,11.86,23.98,us-east-1,staging
2024-05,Customer Service,Load Balancer,56.09,18.29,37.8,us-east-1,production
2024-05,IT Infrastructure,EC2 Compute,530.79,54.14,476.65,us-east-1,staging
2024-05,IT Infrastructure,EKS Cluster,338.14,20.29,317.85,us-east-1,production
2024-05,IT Infrastructure,RDS Database,199.74,20.57,179.17,us-east-1,staging
2024-05,IT Infrastructure,S3 Storage,60.18,13.06,47.12,us-west-2,production
2024-05,IT Infrastructure,Lambda,36.05,9.3,26.75,us-west-2,production
2024-05,IT Infrastructure,Data Transfer,48.91,11.15,37.76,us-east-1,production
2024-05,IT Infrastructure,CloudWatch,19.52,7.18,12.34,us-west-2,production
2024-05,IT Infrastructure,Load Balancer,32.36,11.58,20.78,us-west-2,dev
2024-05,Compliance & Risk,EC2 Compute,390.88,58.24,332.64,us-east-1,production
2024-05,Compliance & Risk,EKS Cluster,321.03,77.69,243.34,us-west-2,production
2024-05,Compliance & Risk,RDS Database,174.01,52.2,121.81,us-west-2,production
2024-05,Compliance & Risk,S3 Storage,63.93,10.04,53.89,us-west-2,staging
2024-05,Compliance & Risk,Lambda,29.63,4.15,25.48,eu-west-1,production
2024-05,Compliance & Risk,Data Transfer,62.28,12.39,49.89,us-west-2,staging
2024-05,Compliance & Risk,CloudWatch,18.05,1.39,16.66,us-east-1,production
2024-05,Compliance & Risk,Load Balancer,30.14,4.22,25.92,eu-west-1,production
2024-06,Finance Automation,EC2 Compute,1353.57,255.82,1097.75,us-east-1,production
2024-06,Finance Automation,EKS Cluster,883.74,123.72,760.02,eu-west-1,production
2024-06,Finance Automation,RDS Database,509.3,61.12,448.18,us-west-2,production
2024-06,Finance Automation,S3 Storage,182.03,31.31,150.72,us-east-1,production
2024-06,Finance Automation,Lambda,106.5,32.38,74.12,us-east-1,staging
2024-06,Finance Automation,Data Transfer,147.97,38.03,109.94,us-west-2,production
2024-06,Finance Automation,CloudWatch,55.46,17.36,38.1,us-west-2,production
2024-06,Finance Automation,Load Balancer,85.94,7.82,78.12,us-east-1,production
2024-06,HR Operations,EC2 Compute,515.57,36.61,478.96,us-east-1,production
2024-06,HR Operations,EKS Cluster,317.5,99.38,218.12,us-west-2,production
2024-06,HR Operations,RDS Database,214.51,53.2,161.31,us-west-2,production
2024-06,HR Operations,S3 Storage,67.37,22.5,44.87,us-east-1,production
2024-06,HR Operations,Lambda,31.88,4.14,27.74,eu-west-1,production
2024-06,HR Operations,Data Transfer,58.93,12.67,46.26,us-east-1,staging
2024-06,HR Operations,CloudWatch,23.18,3.66,19.52,us-west-2,production
2024-06,HR Operations,Load Balancer,34.71,5.76,28.95,us-west-2,production
2024-06,Supply Chain,EC2 Compute,780.44,184.96,595.48,us-east-1,staging
2024-06,Supply Chain,EKS Cluster,679.03,78.77,600.26,us-west-2,production
2024-06,Supply Chain,RDS Database,453.72,27.22,426.5,eu-west-1,production
2024-06,Supply Chain,S3 Storage,147.04,33.67,113.37,us-east-1,staging
2024-06,Supply Chain,Lambda,94.32,15.28,79.04,us-east-1,production
2024-06,Supply Chain,Data Transfer,119.18,41.12,78.06,us-west-2,staging
2024-06,Supply Chain,CloudWatch,48.43,10.85,37.58,us-east-1,production
2024-06,Supply Chain,Load Balancer,59.54,4.17,55.37,us-west-2,production
2024-06,Customer Service,EC2 Compute,734.06,273.07,460.99,us-west-2,production
2024-06,Customer Service,EKS Cluster,604.23,187.92,416.31,us-east-1,production
2024-06,Customer Service,RDS Database,379.99,47.5,332.49,eu-west-1,dev
2024-06,Customer Service,S3 Storage,117.5,31.14,86.36,us-west-2,production
2024-06,Customer Service,Lambda,59.0,19.88,39.12,us-east-1,staging
2024-06,Customer Service,Data Transfer,66.74,12.68,54.06,us-west-2,production
2024-06,Customer Service,CloudWatch,35.71,6.96,28.75,us-east-1,production
2024-06,Customer Service,Load Balancer,56.83,19.21,37.62,eu-west-1,production
2024-06,IT Infrastructure,EC2 Compute,483.58,169.74,313.84,us-west-2,production
2024-06,IT Infrastructure,EKS Cluster,259.0,66.82,192.18,us-east-1,production
2024-06,IT Infrastructure,RDS Database,192.8,21.02,171.78,us-west-2,dev
2024-06,IT Infrastructure,S3 Storage,64.72,7.12,57.6,us-east-1,production
2024-06,IT Infrastructure,Lambda,39.79,7.84,31.95,us-west-2,production
2024-06,IT Infrastructure,Data Transfer,46.71,11.49,35.22,us-west-2,production
2024-06,IT Infrastructure,CloudWatch,18.06,5.51,12.55,us-west-2,dev
2024-06,IT Infrastructure,Load Balancer,31.87,6.37,25.5,us-west-2,production
2024-06,Compliance & Risk,EC2 Compute,438.75,70.64,368.11,us-east-1,production
2024-06,Compliance & Risk,EKS Cluster,270.25,35.67,234.58,us-east-1,staging
2024-06,Compliance & Risk,RDS Database,180.3,11.18,169.12,us-east-1,production
2024-06,Compliance & Risk,S3 Storage,62.77,12.99,49.78,us-east-1,staging
2024-06,Compliance & Risk,Lambda,44.06,5.2,38.86,us-west-2,production
2024-06,Compliance & Risk,Data Transfer,51.23,3.53,47.7,us-west-2,dev
2024-06,Compliance & Risk,CloudWatch,20.44,3.15,17.29,us-west-2,production
2024-06,Compliance & Risk,Load Balancer,28.64,2.84,25.8,eu-west-1,dev
2024-07,Finance Automation,EC2 Compute,1561.76,312.35,1249.41,us-west-2,production
2024-07,Finance Automation,EKS Cluster,1030.66,278.28,752.38,us-west-2,production
2024-07,Finance Automation,RDS Database,625.5,73.18,552.32,us-east-1,dev
2024-07,Finance Automation,S3 Storage,187.61,15.2,172.41,us-east-1,production
2024-07,Finance Automation,Lambda,103.35,28.83,74.52,us-east-1,dev
2024-07,Finance Automation,Data Transfer,158.21,43.51,114.7,us-west-2,production
2024-07,Finance Automation,CloudWatch,61.38,3.68,57.7,eu-west-1,production
2024-07,Finance Automation,Load Balancer,97.83,26.71,71.12,us-west-2,production
2024-07,HR Operations,EC2 Compute,743.49,63.2,680.29,us-east-1,dev
2024-07,HR Operations,EKS Cluster,365.74,24.14,341.6,eu-west-1,production
2024-07,HR Operations,RDS Database,252.57,59.86,192.71,us-east-1,staging
2024-07,HR Operations,S3 Storage,86.61,15.85,70.76,us-west-2,production
2024-07,HR Operations,Lambda,53.46,16.73,36.73,us-west-2,staging
2024-07,HR Operations,Data Transfer,72.57,6.53,66.04,us-west-2,production
2024-07,HR Operations,CloudWatch,24.28,4.39,19.89,us-east-1,production
